"Block_Size"	"Sync"	"File_Size"	"Wall_Clock_Time"	"User_Time"	"Sys_Time"
1024	s	536870912	102.73	1.08	101.66
2048	s	536870912	52.02	0.50	51.52
4096	s	536870912	27.47	0.33	27.14
8192	s	536870912	14.27	0.19	14.08
16384	s	536870912	7.89	0.11	7.78
32768	s	536870912	4.78	0.09	4.69
65536	s	536870912	2.78	0.03	2.75
512	-	536870912	24.11	1.48	22.62
1024	-	536870912	12.83	0.84	11.98
2048	-	536870912	7.26	0.41	6.86
4096	-	536870912	4.08	0.19	3.89
8192	-	536870912	2.58	0.08	2.50
16384	-	536870912	1.62	0.03	1.59
32768	-	536870912	1.26	0.01	1.25
65536	-	536870912	1.00	0.01	0.98
512	s	536870912	201.86	2.12	199.73
1024	s	536870912	115.75	1.98	113.77
2048	s	536870912	53.20	0.64	52.56
4096	s	536870912	27.53	0.33	27.20
8192	s	536870912	14.20	0.19	14.02
16384	s	536870912	8.01	0.05	7.97
32768	s	536870912	4.75	0.05	4.70
65536	s	536870912	2.91	0.03	2.88
512	-	603979776	27.14	1.61	25.53
1024	-	603979776	14.45	0.84	13.61
2048	-	603979776	8.30	0.34	7.95
4096	-	603979776	4.59	0.23	4.36
8192	-	603979776	2.73	0.14	2.59
16384	-	603979776	1.81	0.03	1.78
32768	-	603979776	1.37	0.05	1.33
65536	-	603979776	1.14	0.08	1.06
512	s	603979776	228.20	2.50	225.70
1024	s	603979776	118.11	1.62	116.48
2048	s	603979776	59.48	0.62	58.86
4096	s	603979776	30.39	0.34	30.05
8192	s	603979776	16.62	0.20	16.42
16384	s	603979776	8.95	0.05	8.91
32768	s	603979776	5.25	0.03	5.22
65536	s	603979776	3.26	0.05	3.22
512	-	603979776	26.91	1.59	25.31
1024	-	603979776	14.61	1.03	13.58
2048	-	603979776	8.22	0.64	7.58
4096	-	603979776	4.62	0.27	4.36
8192	-	603979776	2.78	0.14	2.64
16384	-	603979776	1.87	0.06	1.81
32768	-	603979776	1.37	0.03	1.34
65536	-	603979776	1.12	0.00	1.12
512	s	603979776	238.06	3.53	234.53
1024	s	603979776	123.16	1.76	121.39
2048	s	603979776	62.59	1.11	61.48
4096	s	603979776	33.56	0.73	32.83
8192	s	603979776	16.33	0.22	16.11
16384	s	603979776	9.02	0.19	8.83
32768	s	603979776	5.45	0.08	5.38
65536	s	603979776	3.20	0.08	3.12
512	-	603979776	32.69	2.33	30.36
1024	-	603979776	19.08	1.59	17.48
2048	-	603979776	9.56	0.66	8.91
4096	-	603979776	5.50	0.27	5.23
8192	-	603979776	3.20	0.12	3.08
16384	-	603979776	2.20	0.11	2.09
32768	-	603979776	1.61	0.06	1.55
65536	-	603979776	1.37	0.05	1.33
512	s	603979776	324.34	9.03	315.31
1024	s	603979776	172.51	6.22	166.30
2048	s	603979776	87.36	3.28	84.08
4096	s	603979776	44.64	1.83	42.81
8192	s	603979776	22.70	0.72	21.98
16384	s	603979776	15.06	0.55	14.52
32768	s	603979776	8.55	0.27	8.28
65536	s	603979776	4.72	0.14	4.58
512	-	603979776	32.36	2.48	29.88
1024	-	603979776	17.09	1.14	15.95
2048	-	603979776	9.75	0.73	9.02
4096	-	603979776	4.75	0.30	4.45
8192	-	603979776	2.70	0.08	2.62
16384	-	603979776	1.75	0.12	1.62
32768	-	603979776	1.41	0.05	1.36
65536	-	603979776	1.41	0.05	1.36
512	s	603979776	334.83	10.03	324.80
1024	s	603979776	146.48	3.34	143.14
2048	s	603979776	89.80	3.70	86.09
4096	s	603979776	47.37	1.56	45.81
8192	s	603979776	20.19	0.44	19.75
16384	s	603979776	12.86	0.52	12.34
32768	s	603979776	5.25	0.16	5.09
65536	s	603979776	4.70	0.12	4.58
512	-	603979776	32.84	2.25	30.59
1024	-	603979776	20.89	1.41	19.48
2048	-	603979776	10.15	0.73	9.42
4096	-	603979776	6.01	0.45	5.56
8192	-	603979776	3.25	0.17	3.08
16384	-	603979776	2.47	0.16	2.31
32768	-	603979776	1.76	0.05	1.72
65536	-	603979776	1.45	0.08	1.38
512	s	603979776	330.25	11.62	318.62
1024	s	603979776	161.83	4.73	157.09
2048	s	603979776	82.91	2.78	80.12
4096	s	603979776	45.45	1.30	44.16
8192	s	603979776	21.95	0.42	21.53
16384	s	603979776	11.06	0.33	10.73
32768	s	603979776	7.06	0.14	6.92
65536	s	603979776	3.33	0.06	3.27
512	-	603979776	27.27	1.76	25.50
1024	-	603979776	14.83	0.91	13.92
2048	-	603979776	7.94	0.42	7.51
4096	-	603979776	4.37	0.31	4.06
8192	-	603979776	2.89	0.14	2.75
16384	-	603979776	1.98	0.12	1.86
32768	-	603979776	1.45	0.06	1.39
65536	-	603979776	1.14	0.00	1.14
512	s	603979776	324.98	9.28	315.70
1024	s	603979776	164.76	4.30	160.47
2048	s	603979776	83.09	1.97	81.12
4096	s	603979776	43.39	1.17	42.22
8192	s	603979776	19.62	0.25	19.38
16384	s	603979776	11.37	0.23	11.14
32768	s	603979776	6.45	0.09	6.36
65536	s	603979776	3.44	0.06	3.38
512	-	603979776	25.78	1.42	24.36
1024	-	603979776	13.86	1.01	12.84
2048	-	603979776	7.83	0.55	7.28
4096	-	603979776	4.42	0.27	4.16
8192	-	603979776	2.67	0.17	2.50
16384	-	603979776	1.87	0.08	1.80
32768	-	603979776	1.34	0.03	1.31
65536	-	603979776	1.20	0.00	1.20
512	s	603979776	326.17	9.09	317.08
1024	s	603979776	163.41	4.55	158.86
2048	s	603979776	84.45	2.72	81.73
4096	s	603979776	42.02	1.01	41.00
8192	s	603979776	21.23	0.69	20.55
16384	s	603979776	10.87	0.22	10.66
32768	s	603979776	5.76	0.09	5.67
65536	s	603979776	3.12	0.08	3.05
512	-	603979776	25.39	1.48	23.91
1024	-	603979776	13.77	1.01	12.75
2048	-	603979776	7.56	0.34	7.22
4096	-	603979776	4.34	0.23	4.11
8192	-	603979776	2.83	0.19	2.64
16384	-	603979776	1.91	0.03	1.88
32768	-	603979776	1.33	0.00	1.33
65536	-	603979776	1.26	0.06	1.20
512	s	603979776	313.59	8.95	304.64
1024	s	603979776	164.22	4.92	159.30
2048	s	603979776	81.33	2.19	79.14
4096	s	603979776	42.33	1.16	41.17
8192	s	603979776	21.95	0.56	21.39
16384	s	603979776	10.69	0.23	10.45
32768	s	603979776	5.69	0.19	5.50
65536	s	603979776	3.56	0.01	3.55
512	-	603979776	26.91	1.84	25.06
1024	-	603979776	14.55	1.00	13.55
2048	-	603979776	8.22	0.42	7.80
4096	-	603979776	4.56	0.25	4.31
8192	-	603979776	2.78	0.25	2.53
16384	-	603979776	1.86	0.03	1.83
32768	-	603979776	1.48	0.06	1.42
65536	-	603979776	1.20	0.06	1.14
512	s	603979776	322.31	9.72	312.59
1024	s	603979776	162.89	4.61	158.28
2048	s	603979776	77.28	1.72	75.56
4096	s	603979776	39.80	1.03	38.77
8192	s	603979776	22.20	0.70	21.50
16384	s	603979776	12.09	0.22	11.88
32768	s	603979776	6.22	0.12	6.09
65536	s	603979776	3.56	0.06	3.50
512	-	603979776	28.19	2.09	26.09
1024	-	603979776	15.06	0.91	14.16
2048	-	603979776	8.58	0.62	7.95
4096	-	603979776	4.70	0.25	4.45
8192	-	603979776	2.87	0.06	2.81
16384	-	603979776	2.00	0.14	1.86
32768	-	603979776	1.50	0.01	1.48
65536	-	603979776	1.30	0.03	1.26
512	s	603979776	321.26	8.30	312.97
1024	s	603979776	165.11	4.53	160.58
2048	s	603979776	82.47	2.11	80.36
4096	s	603979776	42.86	1.31	41.55
8192	s	603979776	24.12	0.48	23.64
16384	s	603979776	10.56	0.17	10.39
32768	s	603979776	6.72	0.17	6.55
65536	s	603979776	3.58	0.03	3.55
512	-	671088640	31.70	2.12	29.58
1024	-	671088640	16.67	0.94	15.73
2048	-	671088640	9.59	0.70	8.89
4096	-	671088640	5.12	0.31	4.81
8192	-	671088640	3.11	0.16	2.95
16384	-	671088640	2.00	0.06	1.94
32768	-	671088640	1.45	0.03	1.42
65536	-	671088640	1.25	0.01	1.23
512	s	671088640	362.75	10.75	352.00
1024	s	671088640	180.84	5.69	175.16
2048	s	671088640	92.33	3.12	89.20
4096	s	671088640	48.06	1.31	46.75
8192	s	671088640	23.78	0.53	23.25
16384	s	671088640	11.23	0.19	11.05
32768	s	671088640	6.70	0.09	6.61
65536	s	671088640	3.62	0.09	3.53
512	-	671088640	29.19	1.83	27.36
1024	-	671088640	15.25	0.91	14.34
2048	-	671088640	8.75	0.77	7.98
4096	-	671088640	4.95	0.22	4.73
8192	-	671088640	2.94	0.06	2.88
16384	-	671088640	1.87	0.14	1.73
32768	-	671088640	1.56	0.08	1.48
65536	-	671088640	1.30	0.03	1.26
512	s	671088640	359.84	10.58	349.26
1024	s	671088640	183.47	5.56	177.91
2048	s	671088640	86.09	2.20	83.89
4096	s	671088640	45.81	1.17	44.64
8192	s	671088640	24.62	0.55	24.08
16384	s	671088640	11.55	0.14	11.41
32768	s	671088640	7.48	0.19	7.30
65536	s	671088640	4.05	0.05	4.00
512	-	671088640	31.89	2.23	29.66
1024	-	671088640	16.95	1.05	15.91
2048	-	671088640	9.30	0.59	8.70
4096	-	671088640	5.31	0.17	5.14
8192	-	671088640	3.34	0.19	3.16
16384	-	671088640	2.14	0.12	2.02
32768	-	671088640	1.69	0.08	1.61
65536	-	671088640	1.58	0.01	1.56
512	s	671088640	371.80	11.00	360.80
1024	s	671088640	186.58	5.45	181.12
2048	s	671088640	86.66	1.94	84.72
4096	s	671088640	47.20	1.41	45.80
8192	s	671088640	23.36	0.38	22.98
16384	s	671088640	12.98	0.36	12.62
32768	s	671088640	6.83	0.12	6.70
65536	s	671088640	4.73	0.11	4.62
512	-	671088640	31.97	2.30	29.67
1024	-	671088640	16.69	0.84	15.84
2048	-	671088640	9.56	0.56	9.00
4096	-	671088640	5.19	0.23	4.95
8192	-	671088640	3.19	0.19	3.00
16384	-	671088640	2.20	0.05	2.16
32768	-	671088640	1.67	0.09	1.58
65536	-	671088640	1.41	0.05	1.36
512	s	671088640	360.50	10.06	350.44
1024	s	671088640	178.91	4.58	174.33
2048	s	671088640	94.52	2.91	91.61
4096	s	671088640	48.31	1.38	46.94
8192	s	671088640	25.23	0.94	24.30
16384	s	671088640	11.05	0.17	10.88
32768	s	671088640	6.64	0.12	6.51
65536	s	671088640	3.81	0.06	3.75
512	-	671088640	30.00	2.00	28.00
1024	-	671088640	15.69	0.97	14.72
2048	-	671088640	8.94	0.44	8.50
4096	-	671088640	4.87	0.30	4.58
8192	-	671088640	3.14	0.19	2.95
16384	-	671088640	1.98	0.11	1.88
32768	-	671088640	1.64	0.08	1.56
65536	-	671088640	1.37	0.05	1.33
512	s	671088640	353.33	10.33	343.00
1024	s	671088640	195.61	6.39	189.22
2048	s	671088640	105.48	3.91	101.58
4096	s	671088640	44.53	1.08	43.45
8192	s	671088640	23.27	0.58	22.69
16384	s	671088640	12.69	0.19	12.50
32768	s	671088640	7.23	0.08	7.16
65536	s	671088640	4.31	0.06	4.25
512	-	671088640	35.72	2.70	33.02
1024	-	671088640	18.27	1.23	17.03
2048	-	671088640	10.70	0.72	9.98
4096	-	671088640	6.05	0.23	5.81
8192	-	671088640	3.48	0.20	3.28
16384	-	671088640	2.28	0.08	2.20
32768	-	671088640	1.83	0.09	1.73
65536	-	671088640	1.47	0.03	1.44
512	s	671088640	317.84	8.09	309.75
1024	s	671088640	189.59	6.00	183.59
2048	s	671088640	100.73	3.58	97.16
4096	s	671088640	56.45	2.30	54.16
8192	s	671088640	27.50	0.81	26.69
16384	s	671088640	15.53	0.70	14.83
32768	s	671088640	7.76	0.17	7.59
65536	s	671088640	3.77	0.06	3.70
512	-	671088640	30.22	1.80	28.42
1024	-	671088640	16.02	0.95	15.06
2048	-	671088640	9.12	0.58	8.55
4096	-	671088640	5.00	0.17	4.83
8192	-	671088640	3.00	0.14	2.86
16384	-	671088640	2.11	0.09	2.02
32768	-	671088640	1.50	0.06	1.44
65536	-	671088640	1.33	0.03	1.30
512	s	671088640	275.22	4.72	270.50
1024	s	671088640	158.70	3.53	155.17
2048	s	671088640	112.14	4.01	108.12
4096	s	671088640	55.31	1.50	53.81
8192	s	671088640	28.31	1.01	27.30
16384	s	671088640	12.19	0.41	11.78
32768	s	671088640	5.95	0.06	5.89
65536	s	671088640	3.34	0.05	3.30
512	-	671088640	29.51	2.05	27.47
1024	-	671088640	15.75	1.08	14.67
2048	-	671088640	8.45	0.39	8.06
4096	-	671088640	5.09	0.23	4.86
8192	-	671088640	3.02	0.20	2.81
16384	-	671088640	2.05	0.05	2.00
32768	-	671088640	1.48	0.01	1.47
65536	-	671088640	1.28	0.03	1.25
512	s	671088640	273.09	4.92	268.17
1024	s	671088640	138.50	3.14	135.36
2048	s	671088640	69.36	1.14	68.22
4096	s	671088640	36.39	0.70	35.69
8192	s	671088640	19.73	0.38	19.36
16384	s	671088640	10.62	0.17	10.45
32768	s	671088640	6.09	0.11	5.98
65536	s	671088640	3.40	0.01	3.39
512	-	671088640	29.20	1.80	27.41
1024	-	671088640	16.58	1.01	15.56
2048	-	671088640	9.19	0.47	8.72
4096	-	671088640	5.22	0.30	4.92
8192	-	671088640	3.06	0.12	2.94
16384	-	671088640	2.08	0.12	1.95
32768	-	671088640	1.55	0.05	1.50
65536	-	671088640	1.28	0.01	1.26
512	s	671088640	269.94	4.62	265.31
1024	s	671088640	136.94	2.30	134.64
2048	s	671088640	70.25	1.16	69.09
4096	s	671088640	36.53	0.61	35.92
8192	s	671088640	18.14	0.17	17.97
16384	s	671088640	10.20	0.12	10.08
32768	s	671088640	6.56	0.11	6.45
65536	s	671088640	3.58	0.05	3.53
512	-	671088640	30.08	1.95	28.12
1024	-	671088640	16.17	1.03	15.14
2048	-	671088640	8.97	0.72	8.25
4096	-	671088640	5.09	0.25	4.84
8192	-	671088640	3.17	0.16	3.02
16384	-	671088640	2.12	0.05	2.08
32768	-	671088640	1.55	0.03	1.51
65536	-	671088640	1.26	0.00	1.26
512	s	671088640	284.64	6.00	278.64
1024	s	671088640	138.75	2.14	136.61
2048	s	671088640	69.48	1.28	68.20
4096	s	671088640	35.59	0.58	35.02
8192	s	671088640	19.70	0.27	19.44
16384	s	671088640	10.33	0.11	10.22
32768	s	671088640	6.22	0.14	6.08
65536	s	671088640	3.45	0.01	3.44
512	-	738197504	32.81	1.84	30.97
1024	-	738197504	17.34	1.19	16.16
2048	-	738197504	9.61	0.55	9.06
4096	-	738197504	5.33	0.28	5.05
8192	-	738197504	3.30	0.09	3.20
16384	-	738197504	2.23	0.06	2.17
32768	-	738197504	1.80	0.08	1.72
65536	-	738197504	1.44	0.03	1.41
512	s	738197504	313.75	6.50	307.25
1024	s	738197504	151.05	2.92	148.12
2048	s	738197504	75.55	1.28	74.27
4096	s	738197504	38.47	0.66	37.81
8192	s	738197504	20.52	0.44	20.08
16384	s	738197504	11.17	0.17	11.00
32768	s	738197504	6.61	0.08	6.53
65536	s	738197504	3.67	0.05	3.62
512	-	738197504	32.19	1.97	30.22
1024	-	738197504	17.03	0.94	16.09
2048	-	738197504	9.58	0.59	8.98
4096	-	738197504	5.53	0.31	5.22
8192	-	738197504	3.27	0.14	3.12
16384	-	738197504	2.33	0.12	2.20
32768	-	738197504	1.70	0.03	1.67
65536	-	738197504	1.36	0.03	1.33
512	s	738197504	298.33	5.73	292.59
1024	s	738197504	152.64	2.55	150.09
2048	s	738197504	75.37	1.20	74.17
4096	s	738197504	40.16	0.72	39.44
8192	s	738197504	21.48	0.38	21.11
16384	s	738197504	11.31	0.20	11.11
32768	s	738197504	6.87	0.11	6.76
65536	s	738197504	4.11	0.05	4.06
512	-	738197504	33.91	2.55	31.36
1024	-	738197504	17.98	1.17	16.81
2048	-	738197504	10.37	0.61	9.77
4096	-	738197504	6.05	0.27	5.78
8192	-	738197504	3.47	0.17	3.30
16384	-	738197504	2.33	0.01	2.31
32768	-	738197504	1.70	0.05	1.66
65536	-	738197504	1.53	0.09	1.44
512	s	738197504	297.30	5.06	292.23
1024	s	738197504	152.84	3.02	149.83
2048	s	738197504	77.03	1.23	75.80
4096	s	738197504	39.75	0.59	39.16
8192	s	738197504	20.66	0.44	20.22
16384	s	738197504	11.40	0.17	11.23
32768	s	738197504	6.81	0.09	6.72
65536	s	738197504	3.61	0.00	3.61
512	-	738197504	34.75	2.11	32.64
1024	-	738197504	18.84	1.26	17.58
2048	-	738197504	10.41	0.66	9.75
4096	-	738197504	5.84	0.38	5.47
8192	-	738197504	3.59	0.25	3.34
16384	-	738197504	2.39	0.19	2.20
32768	-	738197504	1.72	0.01	1.70
65536	-	738197504	1.48	0.05	1.44
512	s	738197504	299.20	4.70	294.50
1024	s	738197504	156.67	2.83	153.84
2048	s	738197504	76.25	1.01	75.23
4096	s	738197504	39.76	0.92	38.84
8192	s	738197504	21.08	0.36	20.72
16384	s	738197504	11.56	0.20	11.36
32768	s	738197504	6.80	0.06	6.73
65536	s	738197504	3.80	0.05	3.75
512	-	738197504	36.30	2.59	33.70
1024	-	738197504	24.16	1.38	22.78
2048	-	738197504	13.05	0.86	12.19
4096	-	738197504	7.58	0.39	7.19
8192	-	738197504	4.12	0.17	3.95
16384	-	738197504	2.86	0.08	2.78
32768	-	738197504	1.98	0.09	1.89
65536	-	738197504	1.78	0.05	1.73
512	s	738197504	410.80	12.97	397.83
1024	s	738197504	154.16	2.70	151.45
2048	s	738197504	76.89	1.33	75.56
4096	s	738197504	39.72	0.61	39.11
8192	s	738197504	20.50	0.27	20.23
16384	s	738197504	11.55	0.12	11.42
32768	s	738197504	6.70	0.09	6.61
65536	s	738197504	3.87	0.08	3.80
512	-	738197504	34.92	2.48	32.44
1024	-	738197504	18.09	1.12	16.97
2048	-	738197504	10.11	0.53	9.58
4096	-	738197504	5.76	0.33	5.44
8192	-	738197504	3.50	0.12	3.38
16384	-	738197504	2.27	0.08	2.19
32768	-	738197504	1.73	0.03	1.70
65536	-	738197504	1.41	0.03	1.38
512	s	738197504	297.42	4.81	292.61
1024	s	738197504	153.50	2.83	150.67
2048	s	738197504	76.73	1.09	75.64
4096	s	738197504	39.22	0.58	38.64
8192	s	738197504	21.44	0.38	21.06
16384	s	738197504	11.58	0.17	11.41
32768	s	738197504	6.55	0.06	6.48
65536	s	738197504	3.75	0.03	3.72
512	-	738197504	34.09	2.23	31.86
1024	-	738197504	18.27	1.01	17.25
2048	-	738197504	10.19	0.80	9.39
4096	-	738197504	5.75	0.38	5.38
8192	-	738197504	3.64	0.22	3.42
16384	-	738197504	2.34	0.11	2.23
32768	-	738197504	1.81	0.03	1.78
65536	-	738197504	1.48	0.05	1.44
512	s	738197504	299.50	5.58	293.92
1024	s	738197504	152.36	2.67	149.69
2048	s	738197504	76.47	1.62	74.84
4096	s	738197504	38.73	1.00	37.73
8192	s	738197504	21.77	0.38	21.39
16384	s	738197504	11.51	0.17	11.34
32768	s	738197504	6.83	0.05	6.78
65536	s	738197504	3.89	0.06	3.83
512	-	738197504	34.33	2.02	32.31
1024	-	738197504	18.28	1.17	17.11
2048	-	738197504	10.08	0.58	9.50
4096	-	738197504	5.80	0.31	5.48
8192	-	738197504	3.51	0.22	3.30
16384	-	738197504	2.33	0.11	2.22
32768	-	738197504	1.73	0.08	1.66
65536	-	738197504	1.39	0.06	1.33
512	s	738197504	297.39	5.73	291.66
1024	s	738197504	151.89	2.75	149.14
2048	s	738197504	80.37	1.56	78.81
4096	s	738197504	39.23	0.53	38.70
8192	s	738197504	20.69	0.41	20.28
16384	s	738197504	11.44	0.16	11.28
32768	s	738197504	7.00	0.05	6.95
65536	s	738197504	3.86	0.00	3.86
512	-	738197504	34.27	2.36	31.91
1024	-	738197504	18.61	1.19	17.42
2048	-	738197504	10.08	0.36	9.72
4096	-	738197504	5.80	0.31	5.48
8192	-	738197504	3.48	0.20	3.28
16384	-	738197504	2.37	0.08	2.30
32768	-	738197504	1.70	0.06	1.64
65536	-	738197504	1.47	0.00	1.47
512	s	738197504	300.91	5.16	295.75
1024	s	738197504	151.70	2.78	148.92
2048	s	738197504	80.31	1.39	78.92
4096	s	738197504	40.39	0.97	39.42
8192	s	738197504	21.73	0.47	21.27
16384	s	738197504	11.83	0.28	11.55
32768	s	738197504	6.98	0.16	6.83
65536	s	738197504	4.00	0.00	4.00
512	-	738197504	35.41	2.05	33.36
1024	-	738197504	18.97	1.30	17.67
2048	-	738197504	10.23	0.52	9.72
4096	-	738197504	5.73	0.27	5.47
8192	-	738197504	3.59	0.20	3.39
16384	-	738197504	2.47	0.09	2.38
32768	-	738197504	1.75	0.01	1.73
65536	-	738197504	1.44	0.00	1.44
512	s	738197504	300.36	5.81	294.55
1024	s	738197504	156.39	2.55	153.84
2048	s	738197504	76.33	1.22	75.11
4096	s	738197504	40.56	0.73	39.83
8192	s	738197504	20.98	0.28	20.70
16384	s	738197504	11.66	0.28	11.38
32768	s	738197504	7.08	0.01	7.06
65536	s	738197504	3.98	0.03	3.95
512	-	805306368	37.59	2.58	35.02
1024	-	805306368	20.25	1.36	18.89
2048	-	805306368	11.09	0.62	10.47
4096	-	805306368	6.09	0.27	5.83
8192	-	805306368	3.81	0.22	3.59
16384	-	805306368	2.59	0.16	2.44
32768	-	805306368	1.91	0.03	1.88
65536	-	805306368	1.53	0.03	1.50
512	s	805306368	324.28	5.88	318.41
1024	s	805306368	163.39	2.80	160.59
2048	s	805306368	82.98	1.31	81.67
4096	s	805306368	41.94	0.50	41.44
8192	s	805306368	23.01	0.34	22.67
16384	s	805306368	12.62	0.19	12.44
32768	s	805306368	7.59	0.11	7.48
65536	s	805306368	4.01	0.00	4.01
512	-	805306368	37.78	2.33	35.45
1024	-	805306368	19.92	0.86	19.06
2048	-	805306368	10.84	0.78	10.06
4096	-	805306368	6.39	0.33	6.06
8192	-	805306368	3.92	0.16	3.77
16384	-	805306368	2.48	0.06	2.42
32768	-	805306368	1.86	0.06	1.80
65536	-	805306368	1.53	0.03	1.50
512	s	805306368	330.19	5.94	324.25
1024	s	805306368	170.34	3.05	167.30
2048	s	805306368	85.86	1.72	84.14
4096	s	805306368	45.59	1.11	44.48
8192	s	805306368	22.83	0.45	22.38
16384	s	805306368	12.00	0.08	11.92
32768	s	805306368	9.56	0.28	9.28
65536	s	805306368	6.78	0.23	6.55
512	-	805306368	35.92	2.53	33.39
1024	-	805306368	18.72	1.12	17.59
2048	-	805306368	10.53	0.47	10.06
4096	-	805306368	6.03	0.23	5.80
8192	-	805306368	3.64	0.23	3.41
16384	-	805306368	2.36	0.11	2.25
32768	-	805306368	1.86	0.01	1.84
65536	-	805306368	1.50	0.00	1.50
512	s	805306368	331.66	6.88	324.78
1024	s	805306368	165.30	3.77	161.53
2048	s	805306368	86.72	1.94	84.78
4096	s	805306368	42.47	0.70	41.77
8192	s	805306368	22.17	0.39	21.78
16384	s	805306368	12.11	0.20	11.91
32768	s	805306368	6.89	0.06	6.83
65536	s	805306368	4.19	0.05	4.14
512	-	805306368	35.31	2.05	33.27
1024	-	805306368	19.30	1.45	17.84
2048	-	805306368	10.42	0.56	9.86
4096	-	805306368	6.00	0.27	5.73
8192	-	805306368	3.62	0.14	3.48
16384	-	805306368	2.37	0.06	2.31
32768	-	805306368	1.86	0.01	1.84
65536	-	805306368	1.45	0.03	1.42
512	s	805306368	332.78	6.44	326.34
1024	s	805306368	165.36	3.44	161.92
2048	s	805306368	83.22	1.11	82.11
4096	s	805306368	42.97	0.86	42.11
8192	s	805306368	22.50	0.31	22.19
16384	s	805306368	12.47	0.11	12.36
32768	s	805306368	7.33	0.09	7.23
65536	s	805306368	4.19	0.06	4.12
512	-	805306368	37.70	2.38	35.33
1024	-	805306368	20.05	1.30	18.75
2048	-	805306368	11.12	0.64	10.48
4096	-	805306368	6.26	0.36	5.91
8192	-	805306368	3.81	0.22	3.59
16384	-	805306368	2.56	0.14	2.42
32768	-	805306368	1.89	0.03	1.86
65536	-	805306368	1.56	0.00	1.56
512	s	805306368	327.89	5.48	322.41
1024	s	805306368	166.89	3.03	163.86
2048	s	805306368	85.03	1.76	83.27
4096	s	805306368	42.95	0.72	42.23
8192	s	805306368	22.50	0.30	22.20
16384	s	805306368	13.19	0.25	12.94
32768	s	805306368	7.31	0.06	7.25
65536	s	805306368	4.09	0.05	4.05
512	-	805306368	36.92	2.48	34.44
1024	-	805306368	20.03	0.94	19.09
2048	-	805306368	11.42	0.52	10.91
4096	-	805306368	6.25	0.41	5.84
8192	-	805306368	3.87	0.14	3.73
16384	-	805306368	2.48	0.14	2.34
32768	-	805306368	2.06	0.03	2.03
65536	-	805306368	1.64	0.03	1.61
512	s	805306368	325.26	5.59	319.67
1024	s	805306368	165.73	2.72	163.01
2048	s	805306368	84.80	1.34	83.45
4096	s	805306368	49.77	1.12	48.64
8192	s	805306368	23.06	0.50	22.56
16384	s	805306368	12.34	0.27	12.08
32768	s	805306368	7.47	0.08	7.39
65536	s	805306368	4.23	0.08	4.16
512	-	805306368	37.81	2.27	35.55
1024	-	805306368	19.75	1.33	18.42
2048	-	805306368	11.01	0.67	10.34
4096	-	805306368	6.50	0.42	6.08
8192	-	805306368	3.84	0.20	3.64
16384	-	805306368	2.53	0.11	2.42
32768	-	805306368	1.83	0.06	1.76
65536	-	805306368	1.59	0.03	1.56
512	s	805306368	329.50	5.61	323.89
1024	s	805306368	165.76	2.81	162.95
2048	s	805306368	91.45	2.38	89.08
4096	s	805306368	44.95	0.95	44.00
8192	s	805306368	22.59	0.28	22.31
16384	s	805306368	12.61	0.27	12.34
32768	s	805306368	7.67	0.12	7.55
65536	s	805306368	4.17	0.05	4.12
512	-	805306368	36.75	2.38	34.38
1024	-	805306368	19.53	1.17	18.36
2048	-	805306368	10.67	0.64	10.03
4096	-	805306368	6.08	0.20	5.88
8192	-	805306368	3.53	0.08	3.45
16384	-	805306368	2.47	0.11	2.36
32768	-	805306368	1.81	0.06	1.75
65536	-	805306368	1.51	0.01	1.50
512	s	805306368	376.61	9.30	367.31
1024	s	805306368	188.78	4.17	184.61
2048	s	805306368	92.48	2.02	90.47
4096	s	805306368	45.23	0.88	44.36
8192	s	805306368	27.75	0.91	26.84
16384	s	805306368	13.69	0.25	13.44
32768	s	805306368	6.98	0.12	6.86
65536	s	805306368	4.01	0.03	3.98
512	-	805306368	37.17	2.34	34.83
1024	-	805306368	25.73	1.59	24.14
2048	-	805306368	12.64	0.86	11.78
4096	-	805306368	6.97	0.39	6.58
8192	-	805306368	4.37	0.20	4.17
16384	-	805306368	2.84	0.12	2.72
32768	-	805306368	2.33	0.08	2.25
65536	-	805306368	1.81	0.01	1.80
512	s	805306368	426.69	14.25	412.44
1024	s	805306368	205.12	5.66	199.47
2048	s	805306368	105.42	2.84	102.58
4096	s	805306368	68.87	3.39	65.48
8192	s	805306368	27.70	0.59	27.11
16384	s	805306368	15.58	0.41	15.17
32768	s	805306368	9.45	0.22	9.23
65536	s	805306368	4.73	0.14	4.59
512	-	805306368	41.70	3.00	38.70
1024	-	805306368	21.67	1.19	20.48
2048	-	805306368	12.69	0.78	11.91
4096	-	805306368	6.73	0.34	6.39
8192	-	805306368	4.09	0.27	3.83
16384	-	805306368	2.69	0.20	2.48
32768	-	805306368	2.03	0.12	1.91
65536	-	805306368	1.61	0.06	1.55
512	s	805306368	440.47	15.59	424.88
1024	s	805306368	203.69	5.08	198.61
2048	s	805306368	97.84	2.34	95.50
4096	s	805306368	49.55	1.06	48.48
8192	s	805306368	26.20	0.56	25.64
16384	s	805306368	15.84	0.36	15.48
32768	s	805306368	8.77	0.16	8.61
65536	s	805306368	4.94	0.11	4.83
512	-	872415232	45.34	3.00	42.34
1024	-	872415232	20.11	1.05	19.06
2048	-	872415232	12.58	0.88	11.70
4096	-	872415232	6.56	0.36	6.20
8192	-	872415232	4.12	0.19	3.94
